category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,4/42,128/9446,0.03125,7.028273809523809,4.588871726934141,0.0024177796189718695,0.34516324518643615,0.32342646643572354,AK4/GUCY2C/ADCY3/DGUOK,4
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,4/42,163/9446,0.024539877300613498,5.51913526146655,3.8893254315852204,0.005743065506924168,0.34516324518643615,0.32342646643572354,HSPG2/STAT3/IRF3/SOS1,4
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,3/42,92/9446,0.03260869565217391,7.333850931677018,4.079739045255274,0.0078014674003360415,0.34516324518643615,0.32342646643572354,ADRB1/ADCY3/SOS1,3
Organismal Systems,Digestive system,hsa04970,Salivary secretion,3/42,97/9446,0.030927835051546393,6.955817378497791,3.940161072294355,0.00902019201755003,0.34516324518643615,0.32342646643572354,ADRB1/LYZ/ADCY3,3
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,4/42,217/9446,0.018433179723502304,4.1457098968619706,3.1328566888938156,0.015327641911895085,0.34516324518643615,0.32342646643572354,ADRB1/STAT3/ADCY3/SOS1,4
NA,NA,hsa04081,Hormone signaling,4/42,219/9446,0.0182648401826484,4.107849532507067,3.1097186434907034,0.015803738662179746,0.34516324518643615,0.32342646643572354,ADRB1/GUCY2C/STAT3/ADCY3,4
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",3/42,122/9446,0.02459016393442623,5.530444964871195,3.3658050526869503,0.016732932504218142,0.34516324518643615,0.32342646643572354,STAT3/ADCY3/SOS1,3
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,4/42,227/9446,0.01762114537444934,3.9630795049297256,3.0198379724194004,0.017801619155964114,0.34516324518643615,0.32342646643572354,STAT3/IRF3/ADCY3/SOS1,4
NA,NA,hsa03272,Virion - Hepatitis viruses,2/42,48/9446,0.041666666666666664,9.371031746031745,3.88553838227715,0.01913190703076839,0.34516324518643615,0.32342646643572354,HSPG2/EPCAM,2
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,4/42,235/9446,0.01702127659574468,3.8281661600810537,2.933963978851018,0.019951632669736194,0.34516324518643615,0.32342646643572354,NDUFS7/ADCY3/SOS1/COX7A2L,4
