category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/77,163/9446,0.03680981595092025,4.515656123018086,4.104457282192943,0.0020783045346399335,0.36462384062435693,0.3351620180683489,HSPG2/SMAD3/STAT5B/STAT3/IRF3/SOS1,6
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,5/77,128/9446,0.0390625,4.79200487012987,3.9157255282943733,0.0038308164493060493,0.36462384062435693,0.3351620180683489,AK4/GUCY2C/PDE4C/ADCY3/DGUOK,5
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,6/77,224/9446,0.026785714285714284,3.285946196660482,3.138897823069641,0.009725483531746225,0.36462384062435693,0.3351620180683489,IL15RA/CHEK1/SMAD3/KAT2A/STAT5B/ADCY3,6
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,5/77,168/9446,0.02976190476190476,3.651051329622758,3.143006778299362,0.011833383741515241,0.36462384062435693,0.3351620180683489,IL15RA/IL10RA/STAT5B/STAT3/SOS1,5
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,3/77,59/9446,0.05084745762711865,6.237728373321595,3.6585188199478025,0.012208805020404296,0.36462384062435693,0.3351620180683489,TXNDC12/GPX2/IDH2,3
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,3/77,59/9446,0.05084745762711865,6.237728373321595,3.6585188199478025,0.012208805020404296,0.36462384062435693,0.3351620180683489,ILK/AXIN2/SOS1,3
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",4/77,122/9446,0.03278688524590164,4.0221417926335965,3.04574362475106,0.01738280887356235,0.36462384062435693,0.3351620180683489,STAT5B/STAT3/ADCY3/SOS1,4
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,3/77,68/9446,0.04411764705882353,5.41214667685256,3.310160165216329,0.017867448374347453,0.36462384062435693,0.3351620180683489,STAT5B/STAT3/SOS1,3
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,3/77,71/9446,0.04225352112676056,5.183464422901043,3.207593615727707,0.02002759578048153,0.36462384062435693,0.3351620180683489,STAT5B/STAT3/SOS1,3
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,3/77,73/9446,0.0410958904109589,5.041451698985946,3.142383882053128,0.02154437512685921,0.36462384062435693,0.3351620180683489,STAT5B/STAT3/SOS1,3
