category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,4/39,128/9446,0.03125,7.568910256410256,4.817754580994006,0.0018330958597709635,0.28760931343899293,0.2659970528915541,AK4/GUCY2C/ADCY3/DGUOK,4
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,4/39,163/9446,0.024539877300613498,5.943684127733208,4.099284436693466,0.004392178112756442,0.28760931343899293,0.2659970528915541,HSPG2/STAT3/IRF3/SOS1,4
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,3/39,92/9446,0.03260869565217391,7.897993311036789,4.280807633663992,0.006342140197726104,0.28760931343899293,0.2659970528915541,ADRB1/ADCY3/SOS1,3
Organismal Systems,Digestive system,hsa04970,Salivary secretion,3/39,97/9446,0.030927835051546393,7.490880253766852,4.137276982719826,0.007341388617586852,0.28760931343899293,0.2659970528915541,ADRB1/LYZ/ADCY3,3
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,4/39,217/9446,0.018433179723502304,4.464610658159045,3.3244108696363677,0.011878509462142315,0.28760931343899293,0.2659970528915541,ADRB1/STAT3/ADCY3/SOS1,4
NA,NA,hsa04081,Hormone signaling,4/39,219/9446,0.0182648401826484,4.423837958084533,3.3007506093920793,0.012253435844589032,0.28760931343899293,0.2659970528915541,ADRB1/GUCY2C/STAT3/ADCY3,4
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",3/39,122/9446,0.02459016393442623,5.955863808322825,3.547364851735227,0.013697285134804931,0.28760931343899293,0.2659970528915541,STAT3/ADCY3/SOS1,3
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,4/39,227/9446,0.01762114537444934,4.267931774539704,3.2088669839831083,0.013829362665466922,0.28760931343899293,0.2659970528915541,STAT3/IRF3/ADCY3/SOS1,4
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,4/39,235/9446,0.01702127659574468,4.122640480087289,3.121118356685028,0.015529728942890418,0.28760931343899293,0.2659970528915541,NDUFS7/ADCY3/SOS1/COX7A2L,4
NA,NA,hsa03272,Virion - Hepatitis viruses,2/39,48/9446,0.041666666666666664,10.09188034188034,4.065971426500451,0.016624815805722132,0.28760931343899293,0.2659970528915541,HSPG2/EPCAM,2
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/39,139/9446,0.02158273381294964,5.227448810182623,3.232872770132391,0.019368740339492957,0.3046174617029347,0.2817271322108067,KRT34/ADCY3/SOS1,3
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,2/39,59/9446,0.03389830508474576,8.210343328987395,3.577060241344187,0.024511312419133516,0.326189003731546,0.3016776913124125,TXNDC12/IDH2,2
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,2/39,59/9446,0.03389830508474576,8.210343328987395,3.577060241344187,0.024511312419133516,0.326189003731546,0.3016776913124125,ADRB1/ADCY3,2
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/39,159/9446,0.018867924528301886,4.569908079342041,2.9229782632388317,0.027479363149911312,0.33956641606676125,0.314049864570415,STAT3/IRF3/SOS1,3
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,2/39,68/9446,0.029411764705882353,7.1236802413273,3.2630186794515637,0.03188659158281223,0.3447737714891572,0.3188659158281223,RDH12/CYP2A6,2
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,2/39,68/9446,0.029411764705882353,7.1236802413273,3.2630186794515637,0.03188659158281223,0.3447737714891572,0.3188659158281223,STAT3/SOS1,2
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,2/39,71/9446,0.028169014084507043,6.82267966775009,3.1708386775272035,0.03451692926831937,0.3490388936127737,0.32281053744533983,STAT3/SOS1,2
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,2/39,73/9446,0.0273972602739726,6.6357569371268,3.1123045558359492,0.03631618546260073,0.3490388936127737,0.32281053744533983,STAT3/SOS1,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/39,80/9446,0.025,6.055128205128205,2.9235316765053345,0.042890728076490026,0.3877755673596823,0.35863636287600675,STAT3/SOS1,2
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,3/39,193/9446,0.015544041450777202,3.7648465524113193,2.4987115209480435,0.044829545359500844,0.3877755673596823,0.35863636287600675,STAT3/ADCY3/SOS1,3
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,2/39,85/9446,0.023529411764705882,5.69894419306184,2.8019239278472097,0.047839140186428555,0.3911243655064044,0.3617335172313567,AK4/DGUOK,2
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,3/39,204/9446,0.014705882352941176,3.56184012066365,2.3817262161149206,0.05138142057454924,0.3911243655064044,0.3617335172313567,HSPG2/STAT3/SOS1,3
